last_updated,Create Date,Do you feel the True North report identified the key challenges and opportunities facing the region? ,Are you interested in attending future True North events? ,Are you currently a B Corp or in the process of becoming a B Corp?,Would you be interested in hearing more from Brabners about the B Corp process?,Company name,City,Industry,sector,location,Which theme of the True North report do you most identify with and could support activity around?,How would you like to be involved with the True North network?,company_size
2023-12-05 15:42:00,2023-12-05 15:42:00,Yes,Yes,No,No,Projentum,Leeds,Staffing and Recruiting,Specialist recruitment of change and project professionals within the financial services and associated sectors,,"People, skills and the future",,
2023-12-05 14:00:00,2023-12-05 14:00:00,Yes,Yes,No,Yes,Liverpool BID Company,Liverpool,,All (BID/ NFP supporting business),,"People, skills and the future",,
2023-12-05 11:14:00,2023-11-07 10:53:00,Yes,Yes,No,Yes,Metro Bank,London,,Banking,,"People, skills and the future",,
2023-12-05 10:34:00,2023-12-05 10:34:00,No,Yes,No,No,TUBR Ltd,London,Computer Software,Hospitality,,Sustainable development,,
2023-12-04 17:06:00,2022-03-28 00:29:00,Yes,Yes,Yes,Yes,OPEN Media,Liverpool,Marketing and Advertising,Marketing and Communications,Greater Manchester; Merseyside,Sustainable development; Purpose and societal impact,Keeping informed about the latest True North network activities and upcoming events,10-49
2023-11-29 12:30:00,2023-10-04 10:52:00,Yes,Yes,No,Yes,Harrowells Limited,York,Legal Services,Legal,,"People, skills and the future",,
2023-11-24 09:26:00,2023-11-24 09:26:00,Yes,Yes,No,No,,,,Culture and creative industries,,Purpose and societal impact,,
2023-11-22 20:36:00,2023-11-22 20:36:00,Yes,Yes,No,No,Bank of England (Agency for the North West),London,Banking,Finance,,Other,,
2023-11-19 14:53:00,2023-11-19 14:53:00,Yes,Yes,No,Yes,Abeceder,Boston Spa,Human Resources,HR support services,,"People, skills and the future",,
2023-11-07 16:00:00,2023-11-30 13:54:00,Yes,Yes,No,Yes,Coverdale Barclay,London,Public Relations and Communications,Residential and commercial property/construction/placemaking/asset management/local government,,Purpose and societal impact,,
2023-10-26 09:11:00,2023-10-26 09:11:00,Yes,Yes,Yes,Yes,Ph.Creative,Liverpool,Computer Software,"We provide Employer Branding, Recruitment Marketing, and Careers Technology in the HR Sector",,"People, skills and the future",,
2023-10-20 08:42:00,2023-10-20 08:42:00,Yes,Yes,No,No,Pullans,Leeds,Real Estate,Property,,Sustainable development,,
2023-10-18 13:55:00,2023-10-18 13:55:00,Yes,Yes,Yes,No,Servo-Group,Morley,Facilities Services,"Security, CCTV",,Purpose and societal impact,,
2023-10-17 16:30:00,2023-07-19 17:28:00,Yes,Yes,No,Yes,Talentloop,,,Consultancy - Talent Strategy & People Processes,,"People, skills and the future",,
2023-10-13 19:47:00,2023-10-13 19:47:00,Yes,Yes,No,Yes,,,,Yorkshire Investments,,Innovation and change,,
2023-10-13 11:00:00,2023-05-18 12:21:00,Yes,Yes,No,Yes,Fox Brothers,Blackpool,Logistics and Supply Chain,"Construction, Haulage, Plant Hire, Earthworks",,Sustainable development,,
2023-10-13 11:00:00,2023-09-26 15:54:00,Yes,Yes,Yes,Yes,Viridium-Bc,,,Property,,Sustainable development,,
2023-10-11 12:56:00,2023-10-11 12:56:00,Yes,Yes,No,Yes,,,,Construction and Marketing,,Sustainable development,,
2023-10-11 12:40:00,2023-10-11 12:40:00,Yes,Yes,No,Yes,LeedsBradfordAirport,Warrington,,Avivation,,Sustainable development,,
2023-10-11 11:28:00,2023-10-11 11:28:00,Yes,Yes,No,No,The Rumbler,,,Automotive,,Innovation and change,,
2023-10-11 10:09:00,2023-10-11 10:09:00,Yes,Yes,No,Yes,Lloyds Banking Group plc,London,Banking,Banking and finance,,Sustainable development,,
2023-10-09 18:21:00,2023-10-09 18:21:00,Yes,Yes,No,Yes,danaus.co.uk,,,"Professional Services, Charities, Higher Education and Political environment.",,"People, skills and the future",,
2023-10-09 18:06:00,2023-10-09 18:06:00,Yes,Yes,Yes,No,Endless LLP,Leeds,Capital Markets,PE,,Purpose and societal impact,,
2023-10-09 14:14:00,2023-10-09 14:14:00,Yes,Yes,No,No,Fragomen,New York,Legal Services,Global Immigration,,"People, skills and the future",,
2023-10-06 14:36:00,2023-10-06 14:36:00,Yes,Yes,No,No,ESGmark,Wilmslow,,ESG Certification,,Sustainable development,,
2023-10-05 17:36:00,2023-10-05 17:36:00,Yes,Yes,Yes,Yes,Partners & Limited,High Wycombe,,Insurance,,"People, skills and the future",,
2023-10-05 15:51:00,2023-10-05 15:51:00,Yes,Yes,No,No,National Trust,Cardiff,Entertainment,"Charity, environment, heritage",,Sustainable development,,
2023-10-05 09:03:00,2023-10-05 09:03:00,Yes,Yes,No,No,BHP LLP,Sheffield,Accounting,Accountancy,,"People, skills and the future",,
2023-10-04 21:07:00,2023-10-04 21:07:00,Yes,Yes,Yes,No,Red Diamond Recruitment Ltd,Huddersfield,Staffing and Recruiting,"Aviation, construction, financial services, manufacturing and pharmaceuticals",,"People, skills and the future",,
2023-10-04 16:48:00,2023-10-04 16:48:00,Yes,Yes,No,No,Daneel Williams,,Legal Services,Intellectual Property,,Innovation and change,,
2023-10-04 16:24:00,2023-10-04 16:24:00,Yes,Yes,No,No,Farrans (Construction) Limited,Dunmurry,Construction,Construction,,Sustainable development,,
2023-10-04 16:22:00,2023-10-04 16:22:00,Yes,Yes,No,Yes,SHE BUSINESS,,,business consultancy,West Yorkshire,"People, skills and the future",Keeping informed about the latest True North network activities and upcoming events; Co-curating an event for your sector/businesses in your area.,0-9
2023-10-04 13:58:00,2023-10-04 13:58:00,Yes,Yes,No,No,,,,"Consulting, Finance",,Innovation and change,,
2023-10-04 13:31:00,2023-10-04 13:31:00,Yes,Yes,No,No,Pilkington-Oils,Chorley,,"Fuels, Oils and Lubricants",,Sustainable development,,
